Key,Id,Danish(da),English(en),French(fr),Spanish(es),Chinese (Simplified)(zh-Hans)
AttackType.Magic,7.0629E+15,Magi,Magic,Magie,Magia,魔法
AttackType.Melee,7.06289E+15,N?rkamp,Melee,Corps à corps,Cuerpo a cuerpo,近战
AttackType.Ranged,7.06289E+15,R?kkevidde,Ranged,à distance,A distancia,远程
BioTitle.Barbarian,7.22978E+15,Under en Fuldm?ne,Under a Full Moon,Sous la Pleine Lune,Bajo la Luna Llena,满月之下
BioTitle.Necromancer,7.22987E+15,Knoglernes Herre,The Lord of Bones,Le Seigneur des Os,El Se?or de los Huesos,骨之主
BioTitle.Paladin,7.22966E+15,Den Hellige Ridder af Kongeriget,The Sacred Knight of the Kingdom,Le Chevalier Sacré du Royaume,El Caballero Sagrado del Reino,王国圣骑
BioTitle.Wizard,7.22974E+15,Historien om Heksen,Tale of the Witch,Le Conte de la Sorcière,La Historia de la Hechicera,女巫传说
Char_AutoEquip,6.31513E+15,Auto-udstyr,Auto-Equip,Auto-équiper,Auto-equipar,自动装备
Char_BioTab,6.3151E+15,Bio,Bio,Bio,Bio,传记
Char_LevelUp,6.31523E+15,Opgradér,Level up,Améliorer,Subir de nivel,升级
Char_SkillsTab,6.31508E+15,Evner,Skills,Compétences,Habilidades,技能
Char_StatsTab,6.31505E+15,Stats,Stats,Stats,Stats,属性
Char_Unequip,6.31525E+15,Fjern udstyr,Unequip,Déséquiper,Desequipar,卸下装备
CharacterClass.Barbarian,7.04803E+15,Barbarian,Barbarian,Barbarian,Barbarian,野蛮人
CharacterClass.Necromancer,7.04838E+15,Necromancer,Necromancer,Necromancer,Necromancer,necromancer（死灵法师，游戏语境常用 “死灵法师” ）
CharacterClass.Paladin,6.92044E+15,Paladin,Paladin,Paladin,Paladín,圣骑士
CharacterClass.Wizard,6.92058E+15,Troldmand,Wizard,Magicien,Mago,巫师
Home_Level,5.96699E+15,Niveau,Level,Niveau,Nivel,等级
Home_LevelSubtitle,6.11797E+15,Dragens Hule,The Dragon's Lair,Le Repaire du Dragon,La Guarida del Dragón,龙巢
Home_PlayButton,5.96696E+15,Spil,Play,Jouer,Jugar,游玩
Info_AssetStore,6.15339E+15,Asset Store,Asset Store,Asset Store,Asset Store,资源商店
Info_Blog,6.15337E+15,Blog,Blog,Blog,Blog,博客
Info_DiscoverUIToolkit,6.1532E+15,Oplev UI Toolkit-l?sninger og -arbejdsgange i vores gratis e-bog,Discover UI Toolkit solutions land workflows in our free e-book,Découvrez les solutions et les flux de travail de UI Toolkit dans notre e-book gratuit,Descubre UI Toolkit en nuestro e-book gratuito,在我们的免费电子书中探索 UI Toolkit 解决方案和工作流
Info_Discuss,6.15335E+15,Forum,Discuss,Forum,Foro,论坛
Info_GetEbook,6.15326E+15,F? e-bogen,Get the e-book,Obtenez l’e-book,Obtén el e-book,获取电子书
Info_Manual,6.15332E+15,Manual,Manual,Manuel,Manual,手册
Info_MoreContent,6.15341E+15,Mere UI-indhold fra Unity,More UI content from Unity,Plus de contenu UI de Unity,Más contenido de UI de Unity,Unity 更多 UI 内容
Info_Title,6.15307E+15,Ressourcer,Resources,Ressources,Recursos,资源
Inventory_Rarity_All,6.30905E+15,Alle,All,Tous,Todos,全部
Inventory_Rarity_Common,6.30915E+15,Almindelig,Common,Commun,Común,普通
Inventory_Rarity_Rare,6.30922E+15,Sj?lden,Rare,Rare,Raro,稀有
Inventory_Rarity_Special,6.30925E+15,Speciel,Special,Spécial,Especial,特殊
Inventory_SlotType_All,6.30928E+15,St?vler,Boots,Bottes,Botas,靴子
Inventory_SlotType_Boots,6.3094E+15,Handsker,Gloves,Gants,Guantes,手套
Inventory_SlotType_Gloves,6.30943E+15,Hjelm,Helmet,Casque,Casco,头盔
Inventory_SlotType_Helmet,6.30937E+15,Skjold,Shield,Bouclier,Escudo,盾牌
Inventory_SlotType_Shield,6.30934E+15,V?ben,Weapon,Arme,Arma,武器
Inventory_SlotType_Weapon,6.30931E+15,Udstyrsinventar,Gear Inventory,Inventaire d’équipement,Inventario de equipo,装备背包
Inventory_Title,6.29751E+15,Indl?s,Claim,Réclamer,Reclamar,领取
Mail_Claim,6.18743E+15,Slettet,Deleted,Supprimés,Eliminados,已删除
Mail_Deleted,6.1874E+15,Indbakke,Inbox,Bo?te,Entrada,收件箱
Mail_Inbox,6.18737E+15,Ingen besked valgt.,No message selected.,Aucun message sélectionné.,Ningún mensaje seleccionado.,未选中消息。
Mail_NoMessage,6.18748E+15,Helte,Heroes,Héros,Héroes,英雄
Menu_Char,5.96438E+15,Hjem,Home,Accueil,Inicio,主页
Menu_Home,5.96432E+15,Post,Mail,Courrier,Correo,邮件
Menu_Info,5.96441E+15,Butik,Shop,Boutique,Tienda,商店
Menu_Mail,5.96445E+15,<color=#F8BB19>{0}</color> udstyret.,<color=#F8BB19>{0}</color> equipped.,<color=#F8BB19>{0}</color> équipé.,<color=#F8BB19>{0}</color> equipado.,<color=#F8BB19>{0}</color> 已装备。
Menu_Shop,5.96443E+15,Utilstr?kkelige midler til <color=#F8BB19>{0}</color>. K?b mere <color=#F8BB19>{1}</color>.,Insufficient funds for <color=#F8BB19>{0}</color>. Buy more <color=#F8BB19>{1}</color>.,Fonds insuffisants pour <color=#F8BB19>{0}</color>. Achetez plus de <color=#F8BB19>{1}</color>.,Fondos insuficientes para <color=#F8BB19>{0}</color>. Compra más <color=#F8BB19>{1}</color>.,购买 <color=#F8BB19>{0}</color> 资金不足，请购买更多 <color=#F8BB19>{1}</color> 。
PopUp.GearEquipped,7.41161E+15,Utilstr?kkelige potioner til at stige i niveau.,Insufficient potions to level up.,Potions insuffisantes pour monter de niveau.,Pociones insuficientes para subir de nivel.,升级药水不足。
PopUp.InsufficientFunds,7.41156E+15,<color=#F8BB19>{0}</color> tilf?jet til inventar.,<color=#F8BB19>{0}</color> added to inventory.,<color=#F8BB19>{0}</color> ajouté à l'inventaire.,<color=#F8BB19>{0}</color> a?adido al inventario.,<color=#F8BB19>{0}</color> 已加入背包。
PopUp.InsufficientPotions,7.41161E+15,<color=#F8BB19>{0} {1}{2}</color> tilf?jet til inventar.,<color=#F8BB19>{0} {1}{2}</color> added to inventory.,<color=#F8BB19>{0} {1}{2}</color> ajouté à l'inventaire.,<color=#F8BB19>{0} {1}{2}</color> a?adido al inventario.,<color=#F8BB19>{0} {1}{2}</color> 已加入背包。
PopUp.ItemAddedToInventory,7.41161E+15,Velkommen <color=#F8BB19>{0}</color>!,Welcome <color=#F8BB19>{0}</color>!,Bienvenue <color=#F8BB19>{0}</color>!,?Bienvenido <color=#F8BB19>{0}</color>!,欢迎 <color=#F8BB19>{0}</color> ！
PopUp.PotionsAddedToInventory,7.41162E+15,Konto,Account,Compte,Cuenta,账户
PopUp.WelcomeMessage,7.43028E+15,Afkrydsningsfelt,Checkbox example,Case à cocher,Ejemplo de checkbox,复选框示例
Rarity.Common,7.05224E+15,Fps-t?ller,Fps counter,Compteur fps,Contador fps,帧率计数器
Rarity.Rare,7.05237E+15,Slukket,Off,Désactivé,Apagado,关闭
Rarity.Special,7.05232E+15,T?ndt,On,Activé,Encendido,开启
Settings_AccountLabel,2.38694E+12,M?lfrekvens,Target frame rate,Taux cible,Tasa de refresco,目标帧率
Settings_Checkbutton,2.23386E+12,Maks,Max,Max,Máx,最大
Settings_FpsSlideToggle,1.87409E+12,Sprog,Language,Langue,Idioma,语言
Settings_FpsSlideToggle_Off,4.77946E+14,Dansk,Danish,Danois,Danés,丹麦语
Settings_FpsSlideToggle_On,4.77196E+14,Engelsk,English,Anglais,Inglés,英语
Settings_FrameRateRadioButtons,1.8785E+12,Fransk,French,Fran?ais,Francés,法语
Settings_FrameRateRadioButtons_Max,4.78749E+14,Spansk,Spanish,Espagnol,Espa?ol,西班牙语
Settings_LanguageDropdown,21377310720,Musikvolumen,Music volume,Volume musique,Volumen música,音乐音量
Settings_LanguageDropdown_Danish,4.82054E+14,Spillernavn,Player name,Nom joueur,Nombre de jugador,玩家名称
Settings_LanguageDropdown_English,4.82008E+14,Nulstil niveau,Reset Player Level,Réinitialiser niveau,Restablecer nivel,重置玩家等级
Settings_LanguageDropdown_French,4.82164E+14,Nulstil valuta,Reset Player Currency,Réinitialiser monnaie,Restablecer monedas,重置玩家货币
Settings_LanguageDropdown_Spanish,4.82118E+14,Lydvolumen,SFX volume,Volume effets,Volumen efectos,音效音量
Settings_MusicSlider,1.83077E+12,Tema,Theme,Thème,Tema,主题
Settings_PlayerNameLabel,2.25273E+12,Standard,Default,Par défaut,Predeterminado,默认
Settings_ResetButton1,2.48021E+12,Halloween,Halloween,Halloween,Halloween,万圣节
Settings_ResetButton2,2.58139E+12,Jul,Christmas,No?l,Navidad,圣诞节
Settings_SFXSlider,1.87031E+12,Indstillinger,Settings,Paramètres,Configuración,设置
Settings_ThemeDropdown,1.89932E+12,Bedste Tilbud,Best Deal,Meilleure Offre,Mejor Oferta,最优套餐
Settings_ThemeDropdown_Option1,4.76952E+14,Gratuit,Free,Gratuit,Gratuito（注：原文是 Gratis，西班牙语常用 “Gratuito” 更贴合 “免费”；若严格对应 “Gratis”，中文仍为 “免费” ）,免费
Settings_ThemeDropdown_Option2,4.76985E+14,En stor bunke ?delstene,A big pile of Gems,Un gros tas de gemmes,Un gran montón de gemas,一大堆宝石
Settings_ThemeDropdown_Option3,4.77016E+14,En pose fuld af ?delstene,A bag full of Gems,Un sac plein de gemmes,Una bolsa llena de gemas,一满袋宝石
Settings_Title,5.96251E+15,Et par ?delstene,A couple of Gems,Quelques gemmes,Un par de gemas,几颗宝石
Shop_BestDeal,6.19915E+15,En kiste med guldm?nter,A chest of Gold Coins,Un coffre rempli de pièces d’or,Un cofre lleno de monedas de oro,一箱金币
Shop_Free,6.19217E+15,En pose fuld af guldm?nter,A bag full of Gold Coins,Un sac plein de pièces d’or,Una bolsa llena de monedas de oro,一满袋金币
Shop_GemsLarge,6.19995E+15,En stor bunke guldm?nter,A big pile of Gold Coins,Un gros tas de pièces d’or,Una gran pila de monedas de oro,一大堆金币
Shop_GemsMedium,6.19993E+15,Et par guldm?nter,A couple of Gold Coins,Quelques pièces d’or,Un par de monedas de oro,几枚金币
Shop_GemsSmall,6.19988E+15,Helbredelsesdrikke,Healing Potions,Potions de Soin,Pociones de Curación,治疗药水
Shop_GoldExtraLarge,6.19949E+15,Mest K?bt,Most Purchased,Le Plus Acheté,Más Comprado,销量最高
Shop_GoldLarge,6.19944E+15,Rabat,Off,de Réduction,de Descuento,折扣
Shop_GoldMedium,6.1994E+15,Kraftdrikke,Power Potions,Potions de Puissance,Pociones de Poder,力量药水
Shop_GoldSmall,6.19927E+15,Giver <color=#775027>{0} skadepoint</color> til en fjende hvert <color=#775027>{1} sekund</color>,Deals <color=#775027>{0} Damage</color> points to an enemy every <color=#775027>{1} seconds</color>,Inflige <color=#775027>{0} points de dégats</color> à un ennemi toutes les <color=#775027>{1} secondes</color>,Inflige <color=#775027>{0} puntos de da?o</color> a un enemigo cada <color=#775027>{1} segundos</color>,每 <color=#775027>{1} 秒</color> 对敌人造成 <color=#775027>{0} 点伤害</color>
Shop_HealingPotions,6.20018E+15,N?ste rang ved <color=#775027>niveau {0}</color>,Next tier at <color=#775027>Level {0}</color>,Rang suivant au <color=#775027>niveau {0}</color>,Siguiente rango en <color=#775027>nivel {0}</color>,<color=#775027> 等级 {0}</color> 解锁下一阶
Shop_MostPurchased,6.19911E+15,<color=#775027>Rang {0}</color>,<color=#775027>Tier {0}</color>,<color=#775027>Rang {0}</color>,<color=#775027>Rango {0}</color>,<color=#775027> 阶 {0}</color>
Shop_OffDiscount,6.19922E+15,Avanceret angreb,Advanced attack,Attaque avancée,Ataque avanzado,进阶攻击
Shop_PowerPotions,6.19998E+15,Grundl?ggende angreb,Basic attack,Attaque de base,Ataque básico,基础攻击
Skill.DamageFormat,7.35983E+15,Mellem angreb,Intermediate attack,Attaque intermédiaire,Ataque intermedio,中级攻击
Skill.NextTierLevelFormat,7.3146E+15,?ksehug,Axe Strike,Coup de Hache,Golpe de Hacha,斧击
Skill.TierFormat,7.31455E+15,Skjoldknuser,Shield Breaker,Brise-Bouclier,Rompeescudos,破盾
SkillCategory.Advanced,7.24138E+15,Bers?rkerrasen,Beserker Rage,Rage du Berserker,Furia de Berserker,狂战士之怒
SkillCategory.Basic,7.2413E+15,Sv?rdhug,Sword Slash,Coup d’épée,Corte de Espada,挥砍
SkillCategory.Intermediate,7.24134E+15,Tilkald Elementar,Summon Elemental,Invocation d’élémentaire,Invocar Elemental,召唤元素
SkillName.BarbarianSkill1,7.28017E+15,Kraftens H?nder,Hands of Power,Mains de Puissance,Manos de Poder,能量之手
SkillName.BarbarianSkill2,7.28017E+15,Magisk Lyn,Magic Bolt,éclair Magique,Rayo Mágico,魔法飞弹
SkillName.BarbarianSkill3,7.28017E+15,Ildkugle,Fireball,Boule de Feu,Bola de Fuego,火球术
SkillName.PaladinSkill1,7.28017E+15,Tilintetg?relsessf?re,Sphere of Annihilation,Sphère d’Annihilation,Esfera de Aniquilación,湮灭之球
SkillName.PaladinSkill2,7.28018E+15,Tilkald Elementar,Summon Elemental,Invocation d’élémentaire,Invocar Elemental,召唤元素
SkillName.PaladinSkill3,7.28018E+15,Kraftens H?nder,Hands of Power,Mains de Puissance,Manos de Poder,能量之手
SkillName.WizardSkill1,7.28018E+15,Magisk Lyn,Magic Bolt,éclair Magique,Rayo Mágico,魔法飞弹
SkillName.WizardSkill2,7.28018E+15,Ildkugle,Fireball,Boule de Feu,Bola de Fuego,火球术
SkillName.WizardSkill3,7.28018E+15,Tilintetg?relsessf?re,Sphere of Annihilation,Sphère d’Annihilation,Esfera de Aniquilación,湮灭之球
